nome_produto,nome_cliente,regiao,ano,mes,data_base,quantidade
"LL Road Frame - Black, 52",Number 1 Supply,California,2013,12,2013-12-31,1
"ML Road Frame-W - Yellow, 44",Number 1 Supply,California,2013,12,2013-12-31,3
"Road-750 Black, 52",Number 1 Supply,California,2013,12,2013-12-31,1
"Road-550-W Yellow, 38",Number 1 Supply,California,2013,12,2013-12-31,1
"ML Road Frame-W - Yellow, 38",Number 1 Supply,California,2013,12,2013-12-31,4
"Road-250 Black, 48",Number 1 Supply,California,2013,12,2013-12-31,3
"Road-550-W Yellow, 48",Number 1 Supply,California,2013,12,2013-12-31,2
HL Road Pedal,Number 1 Supply,California,2013,12,2013-12-31,1
"Road-350-W Yellow, 42",Number 1 Supply,California,2013,12,2013-12-31,1
"Road-750 Black, 58",Number 1 Supply,California,2013,12,2013-12-31,1
"Road-350-W Yellow, 48",Number 1 Supply,California,2013,12,2013-12-31,5
"Road-250 Black, 44",Number 1 Supply,California,2013,12,2013-12-31,1
"Road-350-W Yellow, 40",Number 1 Supply,California,2013,12,2013-12-31,1
"Road-750 Black, 48",Number 1 Supply,California,2013,12,2013-12-31,3
"ML Road Frame-W - Yellow, 38",Number 1 Supply,California,2012,9,2012-09-30,2
HL Road Handlebars,Number 1 Supply,California,2012,9,2012-09-30,1
"Road-550-W Yellow, 42",Number 1 Supply,California,2012,9,2012-09-30,5
"LL Road Frame - Red, 62",Number 1 Supply,California,2012,9,2012-09-30,1
"ML Road Frame-W - Yellow, 48",Number 1 Supply,California,2012,9,2012-09-30,4
"Road-650 Red, 44",Number 1 Supply,California,2012,9,2012-09-30,5
"Road-650 Black, 58",Number 1 Supply,California,2012,9,2012-09-30,2
"Road-550-W Yellow, 40",Number 1 Supply,California,2012,9,2012-09-30,6
"Road-650 Black, 52",Number 1 Supply,California,2012,9,2012-09-30,8
"Road-250 Black, 48",Number 1 Supply,California,2012,9,2012-09-30,2
"HL Road Frame - Red, 62",Number 1 Supply,California,2012,9,2012-09-30,3
"Road-650 Red, 62",Number 1 Supply,California,2012,9,2012-09-30,4
"Road-250 Red, 44",Number 1 Supply,California,2012,9,2012-09-30,6
"HL Road Frame - Red, 44",Number 1 Supply,California,2012,9,2012-09-30,4
"Road-250 Black, 52",Number 1 Supply,California,2012,9,2012-09-30,3
LL Road Rear Wheel,Number 1 Supply,California,2012,9,2012-09-30,3
"Road-650 Red, 48",Number 1 Supply,California,2012,9,2012-09-30,5
"Road-550-W Yellow, 38",Number 1 Supply,California,2012,9,2012-09-30,1
"LL Road Frame - Black, 52",Number 1 Supply,California,2012,9,2012-09-30,1
"LL Road Frame - Red, 48",Number 1 Supply,California,2012,9,2012-09-30,1
"Road-650 Black, 60",Number 1 Supply,California,2012,9,2012-09-30,2
"Road-650 Red, 60",Number 1 Supply,California,2012,9,2012-09-30,8
"Road-250 Black, 44",Number 1 Supply,California,2012,9,2012-09-30,3
"HL Road Frame - Black, 44",Number 1 Supply,California,2012,9,2012-09-30,6
"Road-550-W Yellow, 48",Number 1 Supply,California,2012,9,2012-09-30,2
"Road-650 Red, 52",Number 1 Supply,California,2012,9,2012-09-30,2
"Long-Sleeve Logo Jersey, L",Preferred Bikes,California,2011,7,2011-07-01,5
"Sport-100 Helmet, Red",Preferred Bikes,California,2011,7,2011-07-01,5
"LL Road Frame - Black, 58",Preferred Bikes,California,2011,7,2011-07-01,3
"Road-450 Red, 60",Preferred Bikes,California,2011,7,2011-07-01,1
"LL Road Frame - Red, 48",Preferred Bikes,California,2011,7,2011-07-01,5
"Long-Sleeve Logo Jersey, M",Preferred Bikes,California,2011,7,2011-07-01,1
"ML Road Frame - Red, 48",Preferred Bikes,California,2011,7,2011-07-01,6
"Long-Sleeve Logo Jersey, XL",Preferred Bikes,California,2011,7,2011-07-01,1
"Road-650 Red, 48",Preferred Bikes,California,2011,7,2011-07-01,5
"Sport-100 Helmet, Blue",Preferred Bikes,California,2011,7,2011-07-01,2
"Road-150 Red, 56",Preferred Bikes,California,2011,7,2011-07-01,2
"Road-450 Red, 44",Preferred Bikes,California,2011,7,2011-07-01,1
"Road-650 Red, 62",Preferred Bikes,California,2011,7,2011-07-01,6
"Road-650 Black, 44",Preferred Bikes,California,2011,7,2011-07-01,2
"Road-650 Black, 60",Preferred Bikes,California,2011,7,2011-07-01,3
"LL Road Frame - Red, 44",Preferred Bikes,California,2011,7,2011-07-01,2
"Road-650 Black, 52",Preferred Bikes,California,2011,7,2011-07-01,6
"LL Road Frame - Black, 52",Preferred Bikes,California,2011,7,2011-07-01,1
"Road-450 Red, 58",Preferred Bikes,California,2011,7,2011-07-01,6
"Road-650 Red, 60",Preferred Bikes,California,2011,7,2011-07-01,5
"Road-150 Red, 62",Preferred Bikes,California,2011,7,2011-07-01,2
"Road-450 Red, 52",Preferred Bikes,California,2011,7,2011-07-01,5
"LL Road Frame - Red, 62",Preferred Bikes,California,2011,7,2011-07-01,3
"Road-650 Red, 44",Preferred Bikes,California,2011,7,2011-07-01,4
"Road-650 Red, 52",Preferred Bikes,California,2011,7,2011-07-01,2
"LL Road Frame - Red, 60",Preferred Bikes,California,2011,7,2011-07-01,5
"Road-650 Black, 58",Preferred Bikes,California,2011,7,2011-07-01,1
"Road-650 Red, 52",Preferred Bikes,California,2012,3,2012-03-30,5
"Long-Sleeve Logo Jersey, L",Preferred Bikes,California,2012,3,2012-03-30,2
"Road-650 Red, 60",Preferred Bikes,California,2012,3,2012-03-30,11
"Road-150 Red, 56",Preferred Bikes,California,2012,3,2012-03-30,2
"ML Road Frame - Red, 48",Preferred Bikes,California,2012,3,2012-03-30,1
"Road-650 Red, 62",Preferred Bikes,California,2012,3,2012-03-30,7
AWC Logo Cap,Preferred Bikes,California,2012,3,2012-03-30,6
"Long-Sleeve Logo Jersey, XL",Preferred Bikes,California,2012,3,2012-03-30,2
"Road-650 Black, 60",Preferred Bikes,California,2012,3,2012-03-30,2
"Road-650 Black, 44",Preferred Bikes,California,2012,3,2012-03-30,6
"Road-450 Red, 52",Preferred Bikes,California,2012,3,2012-03-30,8
"LL Road Frame - Red, 60",Preferred Bikes,California,2012,3,2012-03-30,1
"LL Road Frame - Black, 44",Preferred Bikes,California,2012,3,2012-03-30,2
"LL Road Frame - Red, 62",Preferred Bikes,California,2012,3,2012-03-30,1
"LL Road Frame - Black, 58",Preferred Bikes,California,2012,3,2012-03-30,2
"Road-450 Red, 44",Preferred Bikes,California,2012,3,2012-03-30,5
"LL Road Frame - Red, 48",Preferred Bikes,California,2012,3,2012-03-30,1
"Road-150 Red, 62",Preferred Bikes,California,2012,3,2012-03-30,4
"Road-450 Red, 58",Preferred Bikes,California,2012,3,2012-03-30,6
"Sport-100 Helmet, Red",Preferred Bikes,California,2012,3,2012-03-30,7
"LL Road Frame - Black, 52",Preferred Bikes,California,2012,3,2012-03-30,3
"Long-Sleeve Logo Jersey, M",Preferred Bikes,California,2012,3,2012-03-30,1
"LL Road Frame - Red, 44",Preferred Bikes,California,2012,3,2012-03-30,5
"Road-650 Black, 52",Preferred Bikes,California,2012,3,2012-03-30,3
"Road-650 Red, 44",Preferred Bikes,California,2012,3,2012-03-30,8
"Road-650 Red, 48",Preferred Bikes,California,2012,3,2012-03-30,8
"Sport-100 Helmet, Blue",Preferred Bikes,California,2012,3,2012-03-30,5
"Road-450 Red, 60",Preferred Bikes,California,2012,3,2012-03-30,6
"Road-650 Black, 58",Preferred Bikes,California,2012,3,2012-03-30,5
"Road-250 Black, 48",Preferred Bikes,California,2012,12,2012-12-31,2
"Road-650 Black, 58",Preferred Bikes,California,2012,12,2012-12-31,4
"Long-Sleeve Logo Jersey, L",Preferred Bikes,California,2012,12,2012-12-31,9
"Road-250 Red, 48",Preferred Bikes,California,2012,12,2012-12-31,5
"LL Road Frame - Black, 52",Preferred Bikes,California,2012,12,2012-12-31,4
"Long-Sleeve Logo Jersey, XL",Preferred Bikes,California,2012,12,2012-12-31,3
AWC Logo Cap,Preferred Bikes,California,2012,12,2012-12-31,6
"LL Road Frame - Red, 60",Preferred Bikes,California,2012,12,2012-12-31,2
"Road-650 Red, 52",Preferred Bikes,California,2012,12,2012-12-31,1
"ML Road Frame-W - Yellow, 44",Preferred Bikes,California,2012,12,2012-12-31,1
"LL Road Frame - Black, 58",Preferred Bikes,California,2012,12,2012-12-31,5
"LL Road Frame - Red, 62",Preferred Bikes,California,2012,12,2012-12-31,1
"Road-650 Red, 60",Preferred Bikes,California,2012,12,2012-12-31,2
"Half-Finger Gloves, S",Preferred Bikes,California,2012,12,2012-12-31,5
"Road-650 Red, 62",Preferred Bikes,California,2012,12,2012-12-31,4
"Road-650 Red, 48",Preferred Bikes,California,2012,12,2012-12-31,8
"Road-650 Black, 60",Preferred Bikes,California,2012,12,2012-12-31,1
"LL Road Frame - Red, 48",Preferred Bikes,California,2012,12,2012-12-31,1
"ML Road Frame-W - Yellow, 38",Preferred Bikes,California,2012,12,2012-12-31,5
"Men's Bib-Shorts, L",Preferred Bikes,California,2012,12,2012-12-31,6
"Long-Sleeve Logo Jersey, M",Preferred Bikes,California,2012,12,2012-12-31,5
"Men's Bib-Shorts, M",Preferred Bikes,California,2012,12,2012-12-31,8
"Women's Tights, S",Preferred Bikes,California,2012,12,2012-12-31,3
"LL Road Frame - Red, 44",Preferred Bikes,California,2012,12,2012-12-31,1
Minipump,Preferred Bikes,California,2012,12,2012-12-31,3
"Road-250 Red, 44",Preferred Bikes,California,2012,12,2012-12-31,1
"Sport-100 Helmet, Red",Preferred Bikes,California,2012,12,2012-12-31,1
"Road-250 Black, 44",Preferred Bikes,California,2012,12,2012-12-31,3
Cable Lock,Preferred Bikes,California,2012,12,2012-12-31,4
"Half-Finger Gloves, M",Preferred Bikes,California,2012,12,2012-12-31,3
LL Road Rear Wheel,Preferred Bikes,California,2012,12,2012-12-31,4
"Road-550-W Yellow, 40",Preferred Bikes,California,2012,12,2012-12-31,4
"Men's Sports Shorts, S",Preferred Bikes,California,2012,12,2012-12-31,1
"Sport-100 Helmet, Black",Preferred Bikes,California,2012,12,2012-12-31,5
"Men's Sports Shorts, M",Preferred Bikes,California,2012,12,2012-12-31,6
"Road-550-W Yellow, 38",Preferred Bikes,California,2012,12,2012-12-31,2
"Women's Tights, L",Preferred Bikes,California,2012,12,2012-12-31,5
"Sport-100 Helmet, Blue",Preferred Bikes,California,2012,12,2012-12-31,4
"Road-650 Black, 52",Preferred Bikes,California,2012,12,2012-12-31,2
"Men's Sports Shorts, L",Preferred Bikes,California,2012,12,2012-12-31,2
"Road-550-W Yellow, 48",Preferred Bikes,California,2012,12,2012-12-31,3
"LL Road Frame - Red, 48",Preferred Bikes,California,2011,10,2011-10-01,3
"LL Road Frame - Red, 60",Preferred Bikes,California,2011,10,2011-10-01,1
"Road-450 Red, 58",Preferred Bikes,California,2011,10,2011-10-01,4
"Road-650 Black, 58",Preferred Bikes,California,2011,10,2011-10-01,8
"Sport-100 Helmet, Blue",Preferred Bikes,California,2011,10,2011-10-01,4
"Road-450 Red, 60",Preferred Bikes,California,2011,10,2011-10-01,2
"Road-450 Red, 44",Preferred Bikes,California,2011,10,2011-10-01,1
"Long-Sleeve Logo Jersey, L",Preferred Bikes,California,2011,10,2011-10-01,6
"Sport-100 Helmet, Black",Preferred Bikes,California,2011,10,2011-10-01,7
"LL Road Frame - Black, 52",Preferred Bikes,California,2011,10,2011-10-01,7
"Road-650 Black, 60",Preferred Bikes,California,2011,10,2011-10-01,2
"Road-650 Black, 44",Preferred Bikes,California,2011,10,2011-10-01,1
"LL Road Frame - Black, 44",Preferred Bikes,California,2011,10,2011-10-01,1
"LL Road Frame - Red, 44",Preferred Bikes,California,2011,10,2011-10-01,3
"Road-450 Red, 52",Preferred Bikes,California,2011,10,2011-10-01,9
"LL Road Frame - Black, 58",Preferred Bikes,California,2011,10,2011-10-01,2
"Road-150 Red, 62",Preferred Bikes,California,2011,10,2011-10-01,3
"Road-650 Red, 62",Preferred Bikes,California,2011,10,2011-10-01,4
"Road-650 Red, 52",Preferred Bikes,California,2011,10,2011-10-01,2
"Road-650 Black, 52",Preferred Bikes,California,2011,10,2011-10-01,9
"HL Road Frame - Red, 62",Preferred Bikes,California,2011,10,2011-10-01,2
"Road-150 Red, 56",Preferred Bikes,California,2011,10,2011-10-01,5
"Road-650 Red, 48",Preferred Bikes,California,2011,10,2011-10-01,6
"Long-Sleeve Logo Jersey, XL",Preferred Bikes,California,2011,10,2011-10-01,2
"Sport-100 Helmet, Red",Preferred Bikes,California,2011,10,2011-10-01,3
"ML Road Frame - Red, 48",Preferred Bikes,California,2011,10,2011-10-01,2
"LL Road Frame - Red, 62",Preferred Bikes,California,2011,10,2011-10-01,1
AWC Logo Cap,Preferred Bikes,California,2011,10,2011-10-01,7
"Road-650 Red, 60",Preferred Bikes,California,2011,10,2011-10-01,6
"Road-650 Red, 44",Preferred Bikes,California,2011,10,2011-10-01,5
"Men's Sports Shorts, L",Preferred Bikes,California,2012,6,2012-06-30,8
"LL Road Frame - Red, 48",Preferred Bikes,California,2012,6,2012-06-30,2
LL Road Rear Wheel,Preferred Bikes,California,2012,6,2012-06-30,3
"Road-650 Red, 44",Preferred Bikes,California,2012,6,2012-06-30,13
"Road-650 Red, 62",Preferred Bikes,California,2012,6,2012-06-30,9
"Road-550-W Yellow, 48",Preferred Bikes,California,2012,6,2012-06-30,2
HL Road Front Wheel,Preferred Bikes,California,2012,6,2012-06-30,2
"Long-Sleeve Logo Jersey, XL",Preferred Bikes,California,2012,6,2012-06-30,2
"Half-Finger Gloves, L",Preferred Bikes,California,2012,6,2012-06-30,3
"Half-Finger Gloves, M",Preferred Bikes,California,2012,6,2012-06-30,9
"Men's Sports Shorts, M",Preferred Bikes,California,2012,6,2012-06-30,7
"Long-Sleeve Logo Jersey, M",Preferred Bikes,California,2012,6,2012-06-30,7
"Road-650 Black, 44",Preferred Bikes,California,2012,6,2012-06-30,2
"Long-Sleeve Logo Jersey, L",Preferred Bikes,California,2012,6,2012-06-30,10
"Women's Tights, M",Preferred Bikes,California,2012,6,2012-06-30,6
"Men's Sports Shorts, S",Preferred Bikes,California,2012,6,2012-06-30,2
"HL Road Frame - Red, 44",Preferred Bikes,California,2012,6,2012-06-30,1
"Road-650 Black, 58",Preferred Bikes,California,2012,6,2012-06-30,7
"Sport-100 Helmet, Red",Preferred Bikes,California,2012,6,2012-06-30,10
"HL Road Frame - Red, 62",Preferred Bikes,California,2012,6,2012-06-30,3
AWC Logo Cap,Preferred Bikes,California,2012,6,2012-06-30,10
Cable Lock,Preferred Bikes,California,2012,6,2012-06-30,4
"Road-550-W Yellow, 42",Preferred Bikes,California,2012,6,2012-06-30,3
Minipump,Preferred Bikes,California,2012,6,2012-06-30,8
"Men's Bib-Shorts, M",Preferred Bikes,California,2012,6,2012-06-30,5
"Road-250 Black, 52",Preferred Bikes,California,2012,6,2012-06-30,1
"ML Road Frame-W - Yellow, 44",Preferred Bikes,California,2012,6,2012-06-30,2
"LL Road Frame - Black, 52",Preferred Bikes,California,2012,6,2012-06-30,2
"Road-250 Black, 48",Preferred Bikes,California,2012,6,2012-06-30,7
"ML Road Frame-W - Yellow, 48",Preferred Bikes,California,2012,6,2012-06-30,1
"Men's Bib-Shorts, L",Preferred Bikes,California,2012,6,2012-06-30,5
"Road-650 Red, 60",Preferred Bikes,California,2012,6,2012-06-30,10
"LL Road Frame - Red, 62",Preferred Bikes,California,2012,6,2012-06-30,3
"Road-550-W Yellow, 40",Preferred Bikes,California,2012,6,2012-06-30,2
"Women's Tights, L",Preferred Bikes,California,2012,6,2012-06-30,8
"ML Road Frame-W - Yellow, 40",Preferred Bikes,California,2012,6,2012-06-30,3
"Half-Finger Gloves, S",Preferred Bikes,California,2012,6,2012-06-30,3
"LL Road Frame - Black, 44",Preferred Bikes,California,2012,6,2012-06-30,2
"Men's Bib-Shorts, S",Preferred Bikes,California,2012,6,2012-06-30,7
"LL Road Frame - Red, 52",Preferred Bikes,California,2012,6,2012-06-30,5
"Road-550-W Yellow, 38",Preferred Bikes,California,2012,6,2012-06-30,6
"Sport-100 Helmet, Blue",Preferred Bikes,California,2012,6,2012-06-30,10
"Road-650 Black, 60",Preferred Bikes,California,2012,6,2012-06-30,1
"Road-250 Red, 44",Preferred Bikes,California,2012,6,2012-06-30,5
"Road-650 Red, 48",Preferred Bikes,California,2012,6,2012-06-30,7
"Road-250 Red, 48",Preferred Bikes,California,2012,6,2012-06-30,5
"LL Road Frame - Black, 58",Preferred Bikes,California,2012,6,2012-06-30,2
"Road-250 Black, 44",Preferred Bikes,California,2012,6,2012-06-30,5
"ML Road Frame-W - Yellow, 38",Preferred Bikes,California,2012,6,2012-06-30,1
"Road-650 Black, 52",Preferred Bikes,California,2012,6,2012-06-30,4
"Sport-100 Helmet, Black",Preferred Bikes,California,2012,6,2012-06-30,10
"Road-650 Black, 44",Preferred Bikes,California,2013,3,2013-03-30,3
AWC Logo Cap,Preferred Bikes,California,2013,3,2013-03-30,2
Minipump,Preferred Bikes,California,2013,3,2013-03-30,1
"Road-650 Black, 58",Preferred Bikes,California,2013,3,2013-03-30,2
"Men's Bib-Shorts, L",Preferred Bikes,California,2013,3,2013-03-30,2
"Women's Tights, M",Preferred Bikes,California,2013,3,2013-03-30,4
"Sport-100 Helmet, Black",Preferred Bikes,California,2013,3,2013-03-30,5
"LL Road Frame - Red, 60",Preferred Bikes,California,2013,3,2013-03-30,5
LL Road Rear Wheel,Preferred Bikes,California,2013,3,2013-03-30,2
"Road-650 Red, 44",Preferred Bikes,California,2013,3,2013-03-30,2
"Long-Sleeve Logo Jersey, M",Preferred Bikes,California,2013,3,2013-03-30,2
"LL Road Frame - Red, 44",Preferred Bikes,California,2013,3,2013-03-30,1
"LL Road Frame - Red, 52",Preferred Bikes,California,2013,3,2013-03-30,1
"Men's Sports Shorts, M",Preferred Bikes,California,2013,3,2013-03-30,3
"Men's Bib-Shorts, S",Preferred Bikes,California,2013,3,2013-03-30,3
"Road-550-W Yellow, 40",Preferred Bikes,California,2013,3,2013-03-30,1
"Half-Finger Gloves, S",Preferred Bikes,California,2013,3,2013-03-30,2
"Road-250 Black, 48",Preferred Bikes,California,2013,3,2013-03-30,4
"Sport-100 Helmet, Red",Preferred Bikes,California,2013,3,2013-03-30,5
"ML Road Frame-W - Yellow, 48",Preferred Bikes,California,2013,3,2013-03-30,4
"ML Road Frame-W - Yellow, 38",Preferred Bikes,California,2013,3,2013-03-30,3
"Sport-100 Helmet, Blue",Preferred Bikes,California,2013,3,2013-03-30,14
Cable Lock,Preferred Bikes,California,2013,3,2013-03-30,7
"Half-Finger Gloves, L",Preferred Bikes,California,2013,3,2013-03-30,2
"Road-650 Red, 48",Preferred Bikes,California,2013,3,2013-03-30,8
"Long-Sleeve Logo Jersey, L",Preferred Bikes,California,2013,3,2013-03-30,4
"Road-650 Red, 60",Preferred Bikes,California,2013,3,2013-03-30,6
"Road-650 Red, 52",Preferred Bikes,California,2013,3,2013-03-30,3
"Road-250 Black, 44",Preferred Bikes,California,2013,3,2013-03-30,6
"Road-550-W Yellow, 38",Preferred Bikes,California,2013,3,2013-03-30,2
"HL Road Frame - Red, 62",Preferred Bikes,California,2013,3,2013-03-30,4
"Road-550-W Yellow, 42",Preferred Bikes,California,2013,3,2013-03-30,2
"Road-650 Red, 62",Preferred Bikes,California,2013,3,2013-03-30,1
"ML Road Frame-W - Yellow, 44",Preferred Bikes,California,2013,3,2013-03-30,5
"LL Road Frame - Black, 58",Preferred Bikes,California,2013,3,2013-03-30,1
"Men's Bib-Shorts, M",Preferred Bikes,California,2013,3,2013-03-30,11
"Women's Tights, S",Preferred Bikes,California,2013,3,2013-03-30,4
"Women's Tights, L",Preferred Bikes,California,2013,3,2013-03-30,4
"Half-Finger Gloves, M",Preferred Bikes,California,2013,3,2013-03-30,6
"LL Road Frame - Red, 62",Preferred Bikes,California,2013,3,2013-03-30,1
"Road-650 Black, 52",Preferred Bikes,California,2013,3,2013-03-30,3
"LL Road Frame - Black, 52",Preferred Bikes,California,2013,3,2013-03-30,2
"Road-250 Red, 44",Preferred Bikes,California,2013,3,2013-03-30,2
"ML Road Frame-W - Yellow, 40",Preferred Bikes,California,2013,3,2013-03-30,3
"HL Road Frame - Red, 44",Preferred Bikes,California,2013,3,2013-03-30,3
"Men's Sports Shorts, L",Preferred Bikes,California,2013,3,2013-03-30,3
"Men's Sports Shorts, S",Preferred Bikes,California,2013,3,2013-03-30,4
"LL Road Frame - Red, 48",Preferred Bikes,California,2013,3,2013-03-30,2
"Long-Sleeve Logo Jersey, XL",Preferred Bikes,California,2013,3,2013-03-30,5
"Road-650 Black, 60",Preferred Bikes,California,2013,3,2013-03-30,1
"Road-250 Black, 52",Preferred Bikes,California,2013,3,2013-03-30,4
"Road-450 Red, 44",Preferred Bikes,California,2012,1,2012-01-01,2
"Sport-100 Helmet, Red",Preferred Bikes,California,2012,1,2012-01-01,1
"Road-150 Red, 56",Preferred Bikes,California,2012,1,2012-01-01,2
"Road-650 Red, 62",Preferred Bikes,California,2012,1,2012-01-01,8
"Long-Sleeve Logo Jersey, XL",Preferred Bikes,California,2012,1,2012-01-01,3
"LL Road Frame - Black, 52",Preferred Bikes,California,2012,1,2012-01-01,2
"Road-650 Black, 44",Preferred Bikes,California,2012,1,2012-01-01,5
AWC Logo Cap,Preferred Bikes,California,2012,1,2012-01-01,2
"Road-450 Red, 58",Preferred Bikes,California,2012,1,2012-01-01,2
"Road-650 Red, 44",Preferred Bikes,California,2012,1,2012-01-01,2
"Long-Sleeve Logo Jersey, L",Preferred Bikes,California,2012,1,2012-01-01,1
"Road-650 Red, 48",Preferred Bikes,California,2012,1,2012-01-01,3
"LL Road Frame - Red, 62",Preferred Bikes,California,2012,1,2012-01-01,1
"LL Road Frame - Red, 60",Preferred Bikes,California,2012,1,2012-01-01,3
"ML Road Frame - Red, 48",Preferred Bikes,California,2012,1,2012-01-01,1
"Road-450 Red, 52",Preferred Bikes,California,2012,1,2012-01-01,2
"Road-650 Red, 60",Preferred Bikes,California,2012,1,2012-01-01,2
"Long-Sleeve Logo Jersey, M",Preferred Bikes,California,2012,1,2012-01-01,4
"LL Road Frame - Red, 48",Preferred Bikes,California,2012,1,2012-01-01,1
"LL Road Frame - Red, 44",Preferred Bikes,California,2012,1,2012-01-01,4
"Road-650 Black, 60",Preferred Bikes,California,2012,1,2012-01-01,3
"Road-650 Red, 52",Preferred Bikes,California,2012,1,2012-01-01,2
"Road-650 Black, 58",Preferred Bikes,California,2012,1,2012-01-01,3
"Road-650 Black, 52",Preferred Bikes,California,2012,1,2012-01-01,4
"Road-450 Red, 60",Preferred Bikes,California,2012,1,2012-01-01,1
"Sport-100 Helmet, Black",Preferred Bikes,California,2012,1,2012-01-01,1
"Sport-100 Helmet, Blue",Preferred Bikes,California,2012,1,2012-01-01,5
"Road-550-W Yellow, 42",Preferred Bikes,California,2012,9,2012-09-30,4
"ML Road Frame-W - Yellow, 48",Preferred Bikes,California,2012,9,2012-09-30,1
"Road-550-W Yellow, 40",Preferred Bikes,California,2012,9,2012-09-30,3
"Road-250 Black, 44",Preferred Bikes,California,2012,9,2012-09-30,2
"Women's Tights, S",Preferred Bikes,California,2012,9,2012-09-30,4
"Sport-100 Helmet, Red",Preferred Bikes,California,2012,9,2012-09-30,4
"Sport-100 Helmet, Blue",Preferred Bikes,California,2012,9,2012-09-30,8
"Road-250 Black, 52",Preferred Bikes,California,2012,9,2012-09-30,4
"Road-650 Black, 58",Preferred Bikes,California,2012,9,2012-09-30,1
"Half-Finger Gloves, M",Preferred Bikes,California,2012,9,2012-09-30,5
"Sport-100 Helmet, Black",Preferred Bikes,California,2012,9,2012-09-30,5
"Road-650 Red, 60",Preferred Bikes,California,2012,9,2012-09-30,3
"Women's Tights, L",Preferred Bikes,California,2012,9,2012-09-30,8
"Half-Finger Gloves, S",Preferred Bikes,California,2012,9,2012-09-30,4
"LL Road Frame - Black, 44",Preferred Bikes,California,2012,9,2012-09-30,3
"Road-650 Black, 52",Preferred Bikes,California,2012,9,2012-09-30,3
"Women's Tights, M",Preferred Bikes,California,2012,9,2012-09-30,1
"LL Road Frame - Black, 52",Preferred Bikes,California,2012,9,2012-09-30,1
AWC Logo Cap,Preferred Bikes,California,2012,9,2012-09-30,9
"Road-250 Black, 48",Preferred Bikes,California,2012,9,2012-09-30,2
"Men's Bib-Shorts, M",Preferred Bikes,California,2012,9,2012-09-30,1
HL Road Front Wheel,Preferred Bikes,California,2012,9,2012-09-30,4
"Long-Sleeve Logo Jersey, L",Preferred Bikes,California,2012,9,2012-09-30,6
"Long-Sleeve Logo Jersey, M",Preferred Bikes,California,2012,9,2012-09-30,4
"ML Road Frame-W - Yellow, 40",Preferred Bikes,California,2012,9,2012-09-30,2
"HL Road Frame - Red, 62",Preferred Bikes,California,2012,9,2012-09-30,3
"Men's Sports Shorts, L",Preferred Bikes,California,2012,9,2012-09-30,1
"Men's Bib-Shorts, S",Preferred Bikes,California,2012,9,2012-09-30,7
"Road-650 Red, 62",Preferred Bikes,California,2012,9,2012-09-30,8
Minipump,Preferred Bikes,California,2012,9,2012-09-30,8
Cable Lock,Preferred Bikes,California,2012,9,2012-09-30,6
"Men's Bib-Shorts, L",Preferred Bikes,California,2012,9,2012-09-30,3
"LL Road Frame - Black, 58",Preferred Bikes,California,2012,9,2012-09-30,2
"Road-250 Red, 44",Preferred Bikes,California,2012,9,2012-09-30,6
"ML Road Frame-W - Yellow, 44",Preferred Bikes,California,2012,9,2012-09-30,6
"Half-Finger Gloves, L",Preferred Bikes,California,2012,9,2012-09-30,1
"HL Road Frame - Red, 44",Preferred Bikes,California,2012,9,2012-09-30,2
"LL Road Frame - Red, 60",Preferred Bikes,California,2012,9,2012-09-30,4
"LL Road Frame - Red, 62",Preferred Bikes,California,2012,9,2012-09-30,2
"Road-650 Red, 44",Preferred Bikes,California,2012,9,2012-09-30,6
"Men's Sports Shorts, S",Preferred Bikes,California,2012,9,2012-09-30,5
LL Road Rear Wheel,Preferred Bikes,California,2012,9,2012-09-30,4
"Long-Sleeve Logo Jersey, XL",Preferred Bikes,California,2012,9,2012-09-30,5
"Road-650 Black, 60",Preferred Bikes,California,2012,9,2012-09-30,2
"LL Road Frame - Red, 44",Preferred Bikes,California,2012,9,2012-09-30,3
"Road-550-W Yellow, 48",Preferred Bikes,California,2012,9,2012-09-30,1
"Men's Sports Shorts, M",Preferred Bikes,California,2012,9,2012-09-30,4
"LL Road Frame - Red, 48",Preferred Bikes,California,2012,9,2012-09-30,1
"Women's Mountain Shorts, L",Racing Partners,Canada,2013,7,2013-07-31,11
"Women's Mountain Shorts, L",Racing Partners,Canada,2014,5,2014-05-01,2
"Long-Sleeve Logo Jersey, M",Resale Services,California,2013,6,2013-06-30,4
"Women's Mountain Shorts, M",Resale Services,California,2013,6,2013-06-30,3
"Mountain-200 Black, 46",Resale Services,California,2013,6,2013-06-30,2
"Sport-100 Helmet, Black",Resale Services,California,2013,6,2013-06-30,5
AWC Logo Cap,Resale Services,California,2013,6,2013-06-30,4
"Classic Vest, S",Resale Services,California,2013,6,2013-06-30,8
"LL Mountain Frame - Silver, 42",Resale Services,California,2013,6,2013-06-30,4
"Mountain-500 Silver, 42",Resale Services,California,2013,6,2013-06-30,3
HL Mountain Pedal,Resale Services,California,2013,6,2013-06-30,3
"Long-Sleeve Logo Jersey, XL",Resale Services,California,2013,6,2013-06-30,4
"Mountain-200 Black, 38",Resale Services,California,2013,6,2013-06-30,4
Hydration Pack - 70 oz.,Resale Services,California,2013,6,2013-06-30,3
LL Mountain Pedal,Resale Services,California,2013,6,2013-06-30,2
"Women's Mountain Shorts, L",Resale Services,California,2013,6,2013-06-30,9
